Type d'erreur	Erreur observée	Correction proposée	Fréquence dans l'échantillon	Frequence dans TGB	Date corpus	Date océrisation( voir gaël)	Remarque
Remplacement	 EXCORI»0MS	EXCURSIONS					
Remplacement	-/>ie	Die					
Remplacement	,-Ç-HEZ	CHEZ					
Remplacement	,lc	Je					
Remplacement	;l)	1)					
Remplacement	?crit	écrit					
Remplacement	.’erres	terres					
Remplacement	.\insi	Ainsi					
Remplacement	.\risto(	Aristot					
Remplacement	.\ristOl	Aristot					
Remplacement	.\thènes	Athènes					
Remplacement	.Alusée	Musée					
Remplacement	.ijoulcr	ajouter					
Remplacement	.ilialtait	abbatait					
Remplacement	.inlliol	Anthol					
Remplacement	.l'ni	J’ai					
Remplacement	.loannès	Ioannès					
Remplacement	.Mexandre	Alexandre					
Remplacement	.Te	Je					
Remplacement	.Vristote	Aristote					
Remplacement	'erres	terres					
Remplacement	'i'hésée	Thésée					
Remplacement	'J'afel	Tafel					
Remplacement	«•onsidère	considère					
Remplacement	«ivSisaltioDS	civilisations					
Remplacement	«jue	que					
Remplacement	«le	de					
Remplacement	«les	des					
Remplacement	«leux	deux					
Remplacement	«pie	que					
Remplacement	(;onsacrer	consacrer					
Remplacement	(?dilice	édifice					
Remplacement	(.Umee	(Musée					
Remplacement	('-levées	élevées					
Remplacement	('.elle	Cette					
Remplacement	('(‘Ile	cette					
Remplacement	('dèves	élèves					
Remplacement	('Ile	elle					
Remplacement	('J'afel	(Tafel					
Remplacement	('ssnve	essaye					
Remplacement	((ue	que					
Remplacement	()n	On					
Remplacement	([u'il	qu’il					
Remplacement	([ualilés	qualités					
Remplacement	([ue	que					
Remplacement	([ui	qui					
Remplacement	(]u'ils	qu’ils					
Remplacement	(]ui	qui					
Remplacement	(}ymnastik	Gymnastik					
Remplacement	(•onsacré	consacré					
Remplacement	(|n'un	qu’un					
Remplacement	(|u'il	qu’il					
Remplacement	(|u'on	qu’on					
Remplacement	(|u’il	qu’il					
Remplacement	"(|u""il"	qu’il					
Remplacement	"(|u""on"	qu’on					
Remplacement	(|uc	que					
Remplacement	(|ue	que					
Remplacement	(|uelle	quelle					
Remplacement	(|ui	qui					
Remplacement	(?as	pas					
Remplacement	(cxle	texte					
Remplacement	(Ditteubergcr	(Dittenberger					
Remplacement	(dles	elles					
Remplacement	(emps	temps					
Remplacement	(erres	terres					
Remplacement	(erres-cuites	Terres-cuites					
Remplacement	(exles	textes					
Remplacement	(ïig	(fig					
Remplacement	(iirard	Girard					
Remplacement	(iirigfé	dirigé					
Remplacement	(Irascr	Graser					
Remplacement	(îrascr	Graser					
Remplacement	(irasor	Graser					
Remplacement	(Iréau	Gréau					
Remplacement	(Irèce	Grèce					
Remplacement	(irecs	Grecs					
Remplacement	(îrecs	Grecs					
Remplacement	(ixe	fixe					
Remplacement	(ixei-	fixer					
Remplacement	(Jècomhre	décembre					
Remplacement	(jiii	qui					
Remplacement	(ju'cn	qu’en					
Remplacement	(ju'elle	qu’elle					
Remplacement	(ju'il	qu’il					
Remplacement	(juaiid	quand					
Remplacement	(juc	que					
Remplacement	(jue	que					
Remplacement	(Juellcs	Quelles					
Remplacement	(Juelques	quelques-uns					
Remplacement	(jui	qui					
Remplacement	(jui,	qui,					
Remplacement	(jui!let).	(juillet).					
Remplacement	(Juichcrat	Quicherat					
Remplacement	(l'est	c’est					
Remplacement	(laioles	paroles					
Remplacement	(le	de					
Remplacement	(les	Ces					
Remplacement	(leuzey	Heuzey					
Remplacement	(levait	devait					
Remplacement	(luelle	quelle					
Remplacement	(o'i	qui					
Remplacement	(oui	tout					
Remplacement	(oule	toute					
Remplacement	(pi'on	qu’on					
Remplacement	(pi’il	qu’il					
Remplacement	(pic	que					
Remplacement	(pie	que					
Remplacement	(pielcompie	quelconque					
Remplacement	(pielque-	quelque-					
Remplacement	(pii	qui					
Remplacement	(pmi	quoi					
Remplacement	(pu	qui					
Remplacement	(pudipies-uns	Quelques-uns					
Remplacement	(R^vue-	(Revue-					
Remplacement	(ravail	travail					
Remplacement	(rière	trière					
Remplacement	(soele	(socle					
