Erreur_détectée	Correction_proposée	Contexte	Fichier
liv	Liv	      D E  drame en cinq actés.  .Prix i liv. 10 fols.  A P A R I S .  Chez JEAN-FF.ANÇOIS BAS	5781000.xml
FF	F	  .Prix i Liv. 10 fols.  A P A R I S .  Chez JEAN-FFANÇOIS BASTIEN, Libraire,   rue du Petit-Lion, prè	5781000.xml
DCC	DUC	on, près de la nouvelle Comédie   Françoise.   M, DCC. LXXXÎIÍ.  PERSONNAGES . IiE BARON LA BARONNE De 	5781000.xml
LXXXÎIÍ	Pas de correction trouvée	rès de la nouvelle Comédie   Françoise.   M, DUC. LXXXÎIÍ.  PERSONNAGES . IiE BARON LA BARONNE De mariendal	5781000.xml
IiE	IDE	ie   Françoise.   M, DUC. LXXXÎIÍ.  PERSONNAGES . IiE BARON LA BARONNE De mariendal. le chevalier, leur	5781000.xml
mariendal	mandarinale	. LXXXÎIÍ.  PERSONNAGES . IDE BARON LA BARONNE De mariendalle. le chevalier, leur fils. 'adelaide, leur fille	5781000.xml
adelaide	badelaire	BARONNE De mandarinale. le chevalier, leur fils. 'adelaidee, leur filleì frankner, négociant fous le nom de 	5781000.xml
filleì	fille	rinale. le chevalier, leur fils. 'badelaire, leur filleìfrankner, négociant fous le nom de • DUMOND. D U P	5781000.xml
frankner	safraner	. le chevalier, leur fils. 'badelaire, leur fille frankner, négociant fous le nom de • DUMOND. D U P UIS, am	5781000.xml
DUMOND	JOUMOND	, leur fille safraner, négociant fous le nom de • DUMONDD. D U P UIS, ami de Frankner , fous le nom d’ANTO	5781000.xml
UIS	US	franer, négociant fous le nom de • JOUMOND. D U P UIS ami de Frankner , fous le nom d’ANTOINE. M. JÉRÔM	5781000.xml
Frankner	Safraner	ociant fous le nom de • JOUMOND. D U P US, ami de Frankner , fous le nom d’ANTOINE. M. JÉRÔME, Concierge, &?	5781000.xml
elaï	Lela	lemagne} dans un château appartenant au Baron^ Ad elaï de jûjs  'MJL2LXJÊ3STMJLX** ■ SCENE PREMIERE .  L	5781000.xml
jûjs	JJSDN	 dans un château appartenant au Baron^ Ad Lela de jûjsN  'MJL2LXJÊ3STMJLX** ■ SCENE PREMIERE .  LE BARON	5781000.xml
MJL	MIL	 château appartenant au Baron^ Ad Lela de JJSDN  'MJL2LXJÊ3STMJLX** ■ SCENE PREMIERE .  LE BARON, M. J 	5781000.xml
