Erreur_détectée	Correction_proposée	Contexte	Fichier
NYMPHI	NYMPHO	II   /     LE     BAS-RELIEF DE NYMPHI     D'APRÈS DE NOUVEAUX RENSEIGNEMENTS     (Revue	PERRROT75.txt
Haïmaneb	Chamane	 avons découvertes, en  1861, dans la province de Haïmaneb auprès de  l'entrée d'une antique forteresse appe	PERRROT75.txt
Ghiaour	Giaour	que forteresse appelée par les  habitants du pays Ghiaourkalé, figures que nous  avons décrites et représen	PERRROT75.txt
nouv	nov	ées d'abord dans la Revue  archéologique^ t. XII (nouv sér.), puis dans notre  Exploration archéologique	PERRROT75.txt
sér	sar	'abord dans la Revue  archéologique^ t. XII (nov. sér.), puis dans notre  Exploration archéologique de 	PERRROT75.txt
Galalie	Galatie	 puis dans notre  Exploration archéologique de la Galalie (p. 1 56-1 63,  pi. IX et X), nous avons été amen	PERRROT75.txt
Nymphi	Nympho	ler un  autre monument analogue, le bas-relief de Nymphi,  où l'on a cru reconnaître, sur la foi d'Hérodot	PERRROT75.txt
Sésos	Sésostris	te, un  guerrier égyptien, monument du passage de Sésostris-     10 BAS-RELIEF DE liYlIPHI.   tris (1). N	PERRROT75.txt
liYlIPHI	Philip	ent du passage de Sésostris-     10 BAS-RELIEF DE liYlIPHI  tris (1). Nous avons saisi celle occasion d'insi	PERRROT75.txt
Qchelle	Échelle	sins, ceux qui donnaient  la figure à plus grande Qchelle et avec le plus de  détails, se ressemblaient si 	PERRROT75.txt
propor	propos	lus de  détails, se ressemblaient si peu pour les propor-  tions et pour le style, qu'on avait peine à cro	PERRROT75.txt
tions	rions	étails, se ressemblaient si peu pour les propos-  tions et pour le style, qu'on avait peine à croire,  au	PERRROT75.txt
Kiepert	Kipper	avait peine à croire,  au premier moment, que MM. Kiepertet Texier  eussent travaillé d'après le même modèl	PERRROT75.txt
Texier	Exister	e à croire,  au premier moment, que MM. Kipper et Texierr  eussent travaillé d'après le même modèle (2). L	PERRROT75.txt
Kiepert	Kipper	us ramassées, disions-nous, dans le dessin de  M. Kiepertque dans celui de M. Texier ; elle a l'air  plus a	PERRROT75.txt
Texier	Exister	dans le dessin de  M. Kipper que dans celui de M. Texierr ; elle a l'air  plus assyrienne dans le premier,	PERRROT75.txt
Kiepert	Kipper	premier, plus égyptienne  dans le second. Avec M. Kiepert nous étions  d'avis, en dépit de l'assertion d'Hé	PERRROT75.txt
re	ré	  d'autres points de la péninsule, nous faisaient re-   (1) II, 106.   2) Archœologische Zeitung, I, 3	PERRROT75.txt
Archœologische	Archéologique	péninsule, nous faisaient ré-   (1) II, 106.   2) ArchœologischeZeitung, I, 33. Texier, Description de V Asie-  Mi	PERRROT75.txt
Zeitung	Zeitgeist	s faisaient ré-   (1) II, 106.   2) Archéologique Zeitungst, I, 33. Texier, Description de V Asie-  Mineure	PERRROT75.txt
Texier	Exister	(1) II, 106.   2) Archéologique Zeitgeist, I, 33. Texierr, Description de V Asie-  Mineure, f>, t. II, p. 	PERRROT75.txt
Moustier	Moutier	 Univers  pittoresque)^ p. 261-62 et pi. I. M. de Moustiera bien, il est vrai, pris  une photographie du mon	PERRROT75.txt
Nymphi	Nympho	l est vrai, pris  une photographie du monument de Nymphi, et c'est d’après son cliché  que le prétendu Sés	PERRROT75.txt
tantinopîe	Constantinople	sostris a été reproduit dans son Voyage de Cons-  tantinopîeople à Èptièse {Tour du Monde^ t. IX, p. 266); mai	PERRROT75.txt
Èptièse	Septième	roduit dans son Voyage de Cons-  Constantinople à Èptièsee {Tour du Monde^ t. IX, p. 266); mais (on ne peut	PERRROT75.txt
robjeclif	objectif	uand on a eu entre les mains cette  photographie) robjeclifavait été placé, non pas en face du bas-rç^cf,  ma	PERRROT75.txt
rç	ri	 objectif avait été placé, non pas en face du bas-rç^cf,  mais tout à fait de côté, de sorte que la fi	PERRROT75.txt
défbnnée	désabonnée	sorte que la figure s'est trouvée complète-  ment défbnnéeée.     BA&«'J^ELIEF DE NYHPgl. il   coniiaitre ^;	PERRROT75.txt
BA	ba	ure s'est trouvée complète-  ment désabonnée.     BA&«'J^ELIEF DE NYHPgl. il   coniiaitre ^;i plus Yol	PERRROT75.txt
NYHPgl	Nymphale	e complète-  ment désabonnée.     ba&«'J^ELIEF DE NYHPglle. il   coniiaitre ^;i plus Yolonti^rs le cachet 	PERRROT75.txt
coniiaitre	contrefaire	nt désabonnée.     ba&«'J^ELIEF DE Nymphale. il   coniiaitree ^;i plus Yolonti^rs le cachet d'un art  propre à	PERRROT75.txt
Yolonti	Volontiers	&«'J^ELIEF DE Nymphale. il   contrefaire ^;i plus Yolontiers^rs le cachet d'un art  propre à rAsie-Minenre,	PERRROT75.txt
rAsie	Asie	i plus Volontiers^rs le cachet d'un art  propre à rAsieMinenre, d'un art qui serait comme  un rameau déta	PERRROT75.txt
tails	laits	 importants ; nous ne pouvions juger que des dé-  tails de l'ajustement, qui étaient à peu près pareils  	PERRROT75.txt
impos	impose	reils  dans les deux dessins ; mais il nous était impose*  sible d'apprécier le style et les proportions,	PERRROT75.txt
sible	sigle	ns les deux dessins ; mais il nous était impose*  sible d'apprécier le style et les proportions, tant  qu	PERRROT75.txt
exprimioQs	exprimions	ssi sensiblement différentes. Le  regret que nous exprimioQs à ce propos nous a  valu une obligeante communica	PERRROT75.txt
